10,25,-45
10,30,-48
10,35,-47
10,40,-47
10,45,-47
10,50,-47
10,55,-47
10,60,-47
10,65,-47
10,70,-47
10,75,-52
20,25,-50
20,30,-51
20,35,-54
20,40,-54
20,45,-54
20,50,-54
20,55,-54
20,60,-54
20,65,-54
20,70,-54
20,75,-54
30,25,-54
30,30,-54
30,35,-54
30,40,-54
30,45,-54
30,50,-54
30,55,-54
30,60,-54
30,65,-54
30,70,-54
30,75,-54
40,25,-54
40,30,-54
40,35,-54
40,40,-54
40,45,-54
40,50,-54
40,55,-54
40,60,-54
40,65,-54
40,70,-54
40,75,-54
50,25,-54
50,30,-54
50,35,-54
50,40,-54
50,45,-54
50,50,-21
50,55,0
50,60,0
50,65,0
50,70,0
50,75,0
60,25,0
60,30,0
60,35,0
60,40,0
60,45,0
60,50,0
60,55,0
60,60,0
60,65,0
60,70,0
60,75,0
70,25,0
70,30,0
70,35,0
70,40,0
70,45,0
70,50,0
70,55,0
70,60,0
70,65,0
70,70,0
70,75,0
80,25,0
80,30,0
80,35,-33
80,40,-53
80,45,-53
80,50,-53
80,55,-54
80,60,-55
80,65,-55
80,70,-55
80,75,-55
90,25,-60
90,30,-57
90,35,-58
90,40,-58
90,45,-58
90,50,-58
90,55,-59
90,60,-60
90,65,-58
90,70,-58
90,75,-58
100,25,-57
100,30,-52
100,35,-51
100,40,-51
100,45,-51
100,50,-51
100,55,-51
100,60,-51
100,65,-52
100,70,-52
100,75,-53
110,25,-58
110,30,-58
110,35,-58
110,40,-55
110,45,-54
110,50,-53
110,55,-53
110,60,-54
110,65,-54
110,70,-57
110,75,-60
120,25,-51
120,30,-51
120,35,-43
120,40,-44
120,45,-44
120,50,-44
120,55,-44
120,60,-43
120,65,-43
120,70,-43
120,75,-43
130,25,-40
130,30,-37
130,35,-37
130,40,-38
130,45,-38
130,50,-37
130,55,-37
130,60,-37
130,65,-38
130,70,-38
130,75,-38
140,25,-35
140,30,-35
140,35,-35
140,40,-35
140,45,-36
140,50,-36
140,55,-36
140,60,-36
140,65,-37
140,70,-37
140,75,-37
150,25,-39
150,30,-39
150,35,-38
150,40,-38
150,45,-38
150,50,-38
150,55,-38
150,60,-38
150,65,-39
150,70,-41
150,75,-41
160,25,-47
160,30,-45
160,35,-43
160,40,-43
160,45,-43
160,50,-44
160,55,-44
160,60,-45
160,65,-45
160,70,-46
160,75,-47
170,25,-49
170,30,-53
170,35,-53
170,40,-53
170,45,-54
170,50,-54
170,55,-56
170,60,-56
170,65,-58
170,70,-59
170,75,-59
180,25,-57
180,30,-54
180,35,-54
180,40,-58
180,45,-58
180,50,-58
180,55,-58
180,60,-59
180,65,-63
180,70,-59
180,75,-53
40,45,-58
40,47,-58
40,49,-58
40,51,-59
40,53,-59
40,55,-56
40,57,-56
40,59,-56
40,61,-56
40,63,-56
40,65,-61
42,45,-61
42,47,-56
42,49,-56
42,51,-55
42,53,-55
42,55,-55
42,57,-54
42,59,-54
42,61,-55
42,63,-55
42,65,-58
44,45,-58
44,47,-56
44,49,-54
44,51,-54
44,53,-55
44,55,-55
44,57,-55
44,59,-55
44,61,-56
44,63,-57
44,65,-57
46,45,-57
46,47,-57
46,49,-55
46,51,-55
46,53,-55
46,55,-56
46,57,-56
46,59,-57
46,61,-56
46,63,-56
46,65,-56
48,45,-54
48,47,-54
48,49,-57
48,51,-57
48,53,-57
48,55,-58
48,57,-58
48,59,-58
48,61,-58
48,63,-58
48,65,-59
50,45,-59
50,47,-53
50,49,-53
50,51,-53
50,53,-53
50,55,-55
