------ FULL SCAN DATA ------
0,25,-36
0,30,-36
0,35,-33
0,40,-33
0,45,-41
0,50,-42
0,55,-35
0,60,-35
0,65,-35
0,70,-33
0,75,-33
10,25,-32
10,30,-33
10,35,-36
10,40,-35
10,45,-35
10,50,-35
10,55,-39
10,60,-42
10,65,-36
10,70,-36
10,75,-36
20,25,-37
20,30,-36
20,35,-36
20,40,-36
20,45,-36
20,50,-35
20,55,-34
20,60,-33
20,65,-33
20,70,-33
20,75,-35
30,25,-36
30,30,-36
30,35,-36
30,40,-42
30,45,-42
30,50,-34
30,55,-33
30,60,-33
30,65,-33
30,70,-36
30,75,-42
40,25,-35
40,30,-35
40,35,-51
40,40,-51
40,45,-44
40,50,-44
40,55,-44
40,60,-44
40,65,-44
40,70,-40
40,75,-40
50,25,-41
50,30,-48
50,35,-48
50,40,-44
50,45,-44
50,50,-44
50,55,-52
50,60,-52
50,65,-45
50,70,-45
50,75,-43
60,25,-38
60,30,-38
60,35,-38
60,40,-36
60,45,-36
60,50,-36
60,55,-36
60,60,-35
60,65,-33
60,70,-33
60,75,-35
70,25,-29
70,30,-29
70,35,-34
70,40,-37
70,45,-33
70,50,-33
70,55,-33
70,60,-28
70,65,-28
70,70,-27
70,75,-27
80,25,-24
80,30,-24
80,35,-27
80,40,-33
80,45,-31
80,50,-29
80,55,-26
80,60,-25
80,65,-24
80,70,-24
80,75,-24
90,25,-22
90,30,-36
90,35,-36
90,40,-34
90,45,-29
90,50,-27
90,55,-25
90,60,-25
90,65,-23
90,70,-22
90,75,-22
100,25,-22
100,30,-35
100,35,-35
100,40,-31
100,45,-31
100,50,-29
100,55,-29
100,60,-28
100,65,-25
100,70,-24
100,75,-24
110,25,-33
110,30,-33
110,35,-49
110,40,-49
110,45,-45
110,50,-42
110,55,-42
110,60,-36
110,65,-36
110,70,-36
110,75,-32
120,25,-38
120,30,-37
120,35,-35
120,40,-35
120,45,-36
120,50,-36
120,55,-36
120,60,-36
120,65,-39
120,70,-41
120,75,-41
130,25,-43
130,30,-41
130,35,-41
130,40,-40
130,45,-40
130,50,-40
130,55,-47
130,60,-47
130,65,-55
130,70,-55
130,75,-55
140,25,-44
140,30,-45
140,35,-44
140,40,-44
140,45,-44
140,50,-39
140,55,-38
140,60,-37
140,65,-37
140,70,-36
140,75,-35
150,25,-36
150,30,-36
150,35,-36
150,40,-36
150,45,-37
150,50,-39
150,55,-39
150,60,-40
150,65,-41
150,70,-40
150,75,-40
160,25,-45
160,30,-35
160,35,-33
160,40,-33
160,45,-36
160,50,-36
160,55,-37
160,60,-41
160,65,-43
160,70,-47
160,75,-47
170,25,-36
170,30,-40
170,35,-40
170,40,-35
170,45,-34
170,50,-34
170,55,-32
170,60,-32
170,65,-32
170,70,-32
170,75,-32
180,25,-44
180,30,-44
180,35,-46
180,40,-51
180,45,-51
180,50,-49
180,55,-49
180,60,-41
180,65,-41
180,70,-41
180,75,-40
80,25,-23
80,25,-37
80,25,-37
80,25,-37
80,25,-37
80,25,-37
80,27,-36
80,29,-36
80,31,-36
80,33,-34
80,35,-33
82,25,-32
82,25,-36
82,25,-38
82,25,-38
82,25,-37
82,25,-37
82,27,-36
82,29,-36
82,31,-36
82,33,-33
82,35,-33
84,25,-32
84,25,-32
84,25,-33
84,25,-38
84,25,-38
84,25,-39
84,27,-39
84,29,-39
84,31,-39
84,33,-34
84,35,-32
86,25,-34
86,25,-39
86,25,-39
86,25,-39
86,25,-39
86,25,-38
86,27,-38
86,29,-38
86,31,-35
86,33,-34
86,35,-33
88,25,-33
88,25,-37
88,25,-38
88,25,-37
88,25,-37
88,25,-37
88,27,-35
88,29,-35
88,31,-33
88,33,-33
88,35,-31
90,25,-31
90,25,-32
90,25,-37
90,25,-36
90,25,-36
90,25,-36
90,27,-34
90,29,-33
90,31,-31
90,33,-31
90,35,-31
92,25,-30
92,25,-30
92,25,-35
92,25,-35
92,25,-35
92,25,-35
92,27,-35
92,29,-34
92,31,-34
92,33,-33
92,35,-30
94,25,-35
94,25,-36
94,25,-34
94,25,-34
94,25,-34
94,25,-33
94,27,-33
94,29,-30
94,31,-30
94,33,-30
94,35,-31
96,25,-31
96,25,-34
96,25,-34
96,25,-34
96,25,-35
96,25,-36
96,27,-37
96,29,-37
96,31,-36
96,33,-36
96,35,-32
98,25,-32
98,25,-43
98,25,-43
98,25,-44
98,25,-45
98,25,-45
98,27,-46
98,29,-46
98,31,-44
98,33,-39
98,35,-38
100,25,-34
100,25,-34
100,25,-57
100,25,-57
100,25,-57
100,25,-57
100,27,-57
100,29,-50
100,31,-50
100,33,-44
100,35,-44
------ FINAL BEST VALUES ------
Pan: 90, Tilt: 25, RSSI: -22
